post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url
"Dušo želė “Mergina iš parako”, 250 ml",duso-zele-mergina-is-parako-250-ml,,288,"Naudojimas: reikiamą kiekį priemonės sukamaisiais judesiais tepkite ant sudrėkintos odos. Įtrinkite ir nuplaukite.","<div class=""woocommerce-tabs wc-tabs-wrapper"">
<div id=""tab-description"" class=""panel entry-content wc-tab"">
<div class=""row"">
<div class=""large-10 large-centered columns"">Yra merginų, kurios tarsi iš pieno plaukusios – jų oda plonytė, nuo jų dulkes reikia pūsti. O mes kitokios, mes norime šarvų, nes mes eisime kovoti. Už save, už vaikus, už kitus – už visus! MERGINOS IŠ PARAKO, pasiruošusios kovoti? Visos už vieną ir viena už visas? Kartu! Natos: Ąžuolo ir burbono.</div>
</div>
</div>
</div>",publish,,0,"2021-04-02 15:16:17",1,open,,,,no,no,,4.09,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://jagelaviciute.lt/wp-content/uploads/2021/04/duso-zele.jpeg ! alt :  ! title : duso-zele ! desc :  ! caption :  | https://jagelaviciute.lt/wp-content/uploads/2021/04/90292969_1600299313452523_6240638625558560768_o.jpeg ! alt :  ! title : 90292969_1600299313452523_6240638625558560768_o ! desc :  ! caption : ",,https://jagelaviciute.lt/produktas/duso-zele-mergina-is-parako-250-ml/
"Juodos vonios putos „Mergina iš parako“, 400 ml",juodos-vonios-putos-mergina-is-parako-400-ml,,302,"Naudojimas: įpilkite nedidelį kiekį priemonės į vonią po tekančiu vandeniu ir palaukite kol susidarys putos. Prieš naudojimą suplakite. Naudokite tik pagal paskirtį.","<div class=""woocommerce-tabs wc-tabs-wrapper"">
<div id=""tab-description"" class=""panel entry-content wc-tab"">
<div class=""row"">
<div class=""large-10 large-centered columns"">Net ir stipriausios kartais netenka jėgų, o tada reikia tylos, reikia ramybės, reikia kelio sugrįžti į save. Pasinerti į švelnumo ir begalybės bangas. Prisiminti, kur eini, kam ir kodėl, prisiminti, kad svarbiausia kova – UŽ VISAS. Juodos spalvos putos – tai priminimas, kad Tu esi išskirtinė, Tu – kovotoja. MERGINOS IŠ PARAKO, nepamirškite savęs!</div>
</div>
</div>
</div>",publish,,0,"2021-04-02 15:36:01",1,open,,,,no,no,,4.69,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://jagelaviciute.lt/wp-content/uploads/2021/04/juodos-vonios-putos-green-feels-agne-jagelaviciute-1.jpeg ! alt :  ! title : juodos-vonios-putos-green-feels-agne-jagelaviciute-1 ! desc :  ! caption :  | https://jagelaviciute.lt/wp-content/uploads/2021/04/90292969_1600299313452523_6240638625558560768_o.jpeg ! alt :  ! title : 90292969_1600299313452523_6240638625558560768_o ! desc :  ! caption : ",,https://jagelaviciute.lt/produktas/juodos-vonios-putos-mergina-is-parako-400-ml/
"Juodas rankų muilas „Mergina iš parako“, 400 ml",juodas-ranku-muilas-mergina-is-parako-400-ml,,304,,"<div class=""woocommerce-tabs wc-tabs-wrapper"">
<div id=""tab-description"" class=""panel entry-content wc-tab"">
<div class=""row"">
<div class=""large-10 large-centered columns"">Yra mergaitės baltom rankelėm, jos švelnios ir minkštos, sukurtos myluot, jos jautrios ir baigščios, jas saugoti reikia. O mums tai nė motais. Mūsų rankos tam, kad kurtume, kad statytume ateitį, jos tam, kad paverstume pelenus auksu. Be baimės, kad teks ir iššsitept. Bet geriausia – mes žinome, kad purvas, jis lengvai nusiplauna, bet padaryti žygdarbiai liks amžinai. Merginos iš parako, keliaujam į žygį kartu?</div>
</div>
</div>
</div>",publish,,0,"2021-04-02 15:37:59",1,open,,,,no,no,,4.09,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://jagelaviciute.lt/wp-content/uploads/2021/04/green-feels-ranku-muilas-agne-jagelaviciute-665psd.jpeg ! alt :  ! title : green-feels-ranku-muilas-agne-jagelaviciute-665psd ! desc :  ! caption : ",,https://jagelaviciute.lt/produktas/juodas-ranku-muilas-mergina-is-parako-400-ml/
"Knyga ""Tu turi ką apsirengti""",knyga-tu-turi-ka-apsirengti,,311,"Pavadinimas: Tu turi ką apsirengti
Autorius: Agnė Jagelavičiūtė
Leidimo metai: 2019
Puslapių skaičius: 272
ISBN: 978-609-96122-0-1
Leidėjas: Ko nesugeba kiti, UAB
Viršelio tipas: kietas

Knygos pristatymas:
a) nemokamas į <strong><a href=""https://www.dpd.com/lt/pradzia/pickup_tinklas2/siuntu_taskai_ir_terminalai"" target=""_blank"" rel=""noopener noreferrer"">DPD Pickup siuntų tašką</a></strong>;
b) į namus/biurą Lietuvoje (išskyrus Neringą) – tik 2,42 Eur.","Stilistė, kostiumų dailininkė, mados žurnalo „L’Officiel Lithuania“ vyriausioji redaktorė, interneto ikona, kulinarinių knygų autorė bei viena ryškiausių įtakos darytojų Lietuvoje pristato knygą apie stilių „Tu turi ką apsirengti“. “Jei, kaip aš, tiki, kad stilius nepalyginamai svarbiau už madą, jei nori dar kartą prisiminti taisykles, kurias per ilgą laiką sugalvojo žmonija, jei nori pasitarti, kurių iš jų verta laikytis, o kurios – nevykęs atsitiktinumas, jei nori susitvarkyti savo drabužinę ir susidėlioti akcentus, kad ir vėl nestovėtum kambaryje su krūva drabužių ant žemės galvodama, kad ir vėl neturi ką apsirengti, – ši knyga tau”, – į lengvą pokalbį apie stilių kviečia A. Jagelavičiūtė.

Knygoje autorė kalba ne apie mados tendencijas, o apie pagrindines stiliaus taisykles – jau egzistuojančias ir pačios sukurtas. Tai ji atskleidžia pasakodama apie savo pačios stilių, jo paieškas, apie tai, ką su kuo derinti ir kaip neleisti pinigų vėjais, apie įkvėpimą, apimantį atvėrus mamos ar močiutės spintą. Nelieka nepaliestos ir intymios patirtys, susijusios su plastinėmis operacijomis, tatuiruotėmis. Knygoje – ieškojimai ir patirtys, atvedusios autorę į sėkmingiausiųjų, populiariausiųjų bei stilingiausiųjų gretas.",publish,,0,"2021-04-02 15:44:11",1,open,,,,no,no,,21.80,19.50,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://jagelaviciute.lt/wp-content/uploads/2021/04/knyga_3d_befono.png ! alt :  ! title : knyga_3d_befono ! desc :  ! caption : ",,https://jagelaviciute.lt/produktas/knyga-tu-turi-ka-apsirengti/
"OVERSIZE vieno dydžio vaikiški MAMA marškinėliai",oversize-vieno-dydzio-vaikiski-mama-marskineliai,,1099,"<div>MAMA! Sunku būtų rasti prasmingesnį žodį šiame pasaulyje. Nė vieno mūsų čia nebūtų, jei ne ji. O kai šį žodį, kad ir ne itin tiksliai, dar virpančia rankyte rašo tas, kuriam šis žodis gražiausias iš visų? Ačiū, MAMOS, kad meile pasidalijote su manimi. Skoloje neliksiu. <span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t3e/3/16/1f5a4.png"" alt=""🖤"" width=""16"" height=""16"" /></span> Nauja kolekcija „MAMA“ – jau prekyboje. Siunčiame į užsienį. Prekių kiekis ribotas. Sudėtis: Dydis : 100% organic medvilnė</div>
<div></div>
<div>Išmatavimai:</div>
<div>Ilgis nugaroje 45cm</div>
<div>Per krūtinę 42cm x2</div>",,publish,,0,"2021-06-14 09:05:58",3,open,,,,no,no,9,19,15.2,,,,,,,instock,no,no,2,yes,taxable,,,,,,'-1,'-1,,,"https://jagelaviciute.lt/wp-content/uploads/2021/06/mama-marksineliai.jpeg ! alt :  ! title : mama marksineliai ! desc :  ! caption : ",,https://jagelaviciute.lt/produktas/oversize-vieno-dydzio-vaikiski-mama-marskineliai/
"Balti OVERSIZED marškinėliai INSOMNIAKĖ",balti-oversized-marskineliai-insomniake,,1106,"Unikalūs VIENA marškinėliai su Agnės Jagelavičiūtės pieštu piešiniu.

Limituoto leidimo
• Skalbti gerąja puse į vidų.
• Rekomenduojama skalbti 30°C temperatūroje.
• Nerekomenduojama džiovinti džiovyklėje.
• Rekomenduojama lyginti iš vidinės pusės.
• Nerekomenduojama balinti.
• Apdailos detalių nelyginti.
Sudėtis: 100% medvilnė

&nbsp;

Išmatavimai:

Krūtinė: 49 cm  /-1,5 cm

Rankovės ilgis: 16 cm  /- 1 cm

Ilgis nugaroje: 86 cm  /- 2 cm",,publish,,0,"2021-06-14 09:42:50",1,closed,,,,no,no,0,49,35,,,,,,,outofstock,no,no,1,yes,taxable,,,,,,0,0,,,"https://jagelaviciute.lt/wp-content/uploads/2021/06/110583829_2624655641183019_6206067289946806282_n.png ! alt :  ! title : 110583829_2624655641183019_6206067289946806282_n.png ! desc :  ! caption :  | https://jagelaviciute.lt/wp-content/uploads/2021/06/109247338_1705915292890924_6661840082444923701_n.jpg ! alt :  ! title : 109247338_1705915292890924_6661840082444923701_n.jpg ! desc :  ! caption :  | https://jagelaviciute.lt/wp-content/uploads/2021/06/108218601_562992564586031_2592408638840941320_n.png ! alt :  ! title : 108218601_562992564586031_2592408638840941320_n.png ! desc :  ! caption :  | https://jagelaviciute.lt/wp-content/uploads/2021/06/110201407_734469890687528_1372338167919953836_n.png ! alt :  ! title : 110201407_734469890687528_1372338167919953836_n.png ! desc :  ! caption : ",,https://jagelaviciute.lt/produktas/balti-oversized-marskineliai-insomniake/
"Juodi OVERSIZED marškinėliai INSOMNIAKĖ",juodi-oversized-marskineliai-insomniake,,1107,"Unikalūs VIENA marškinėliai su Agnės Jagelavičiūtės pieštu piešiniu.

Limituoto leidimo
• Skalbti gerąja puse į vidų.
• Rekomenduojama skalbti 30°C temperatūroje.
• Nerekomenduojama džiovinti džiovyklėje.
• Rekomenduojama lyginti iš vidinės pusės.
• Nerekomenduojama balinti.
• Apdailos detalių nelyginti.
Sudėtis: 100% medvilnė

&nbsp;

Išmatavimai:

Krūtinė: 52 cm  /-1,5 cm

Rankovės ilgis: 16,5 cm  /- 1 cm

Ilgis nugaroje: 88 cm  /- 2 cm",,private,,0,"2021-06-14 09:42:50",1,closed,,,,no,no,0,49,35,,,,,,,outofstock,no,no,1,yes,taxable,,,,,,0,0,,,"https://jagelaviciute.lt/wp-content/uploads/2021/06/108633926_610675576522213_301373555004146424_n.png ! alt :  ! title : 108633926_610675576522213_301373555004146424_n.png ! desc :  ! caption :  | https://jagelaviciute.lt/wp-content/uploads/2021/06/108218601_562992564586031_2592408638840941320_n.png ! alt :  ! title : 108218601_562992564586031_2592408638840941320_n.png ! desc :  ! caption :  | https://jagelaviciute.lt/wp-content/uploads/2021/06/110201407_734469890687528_1372338167919953836_n.png ! alt :  ! title : 110201407_734469890687528_1372338167919953836_n.png ! desc :  ! caption :  | https://jagelaviciute.lt/wp-content/uploads/2021/06/109247338_1705915292890924_6661840082444923701_n.jpg ! alt :  ! title : 109247338_1705915292890924_6661840082444923701_n.jpg ! desc :  ! caption :  | https://jagelaviciute.lt/wp-content/uploads/2021/06/110161998_346048659719898_8963929045218260122_n.png ! alt :  ! title : 110161998_346048659719898_8963929045218260122_n.png ! desc :  ! caption : ",,https://jagelaviciute.lt/produktas/juodi-oversized-marskineliai-insomniake/
"Medžiaginis maišelis",medziaginis-maiselis-2,,1108,"Medžiaginis maišelis, skirtas susidėti, apatiniams, pižamai, bateliams ir t.t.",,publish,,0,"2021-06-14 09:42:50",1,closed,10,,,no,no,7,19,,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://jagelaviciute.lt/wp-content/uploads/2021/06/IZZIE-BAG-maišas.jpg ! alt :  ! title : IZZIE-BAG-maišas.jpg ! desc :  ! caption : ",,https://jagelaviciute.lt/produktas/medziaginis-maiselis-2/
"VAIKIŠKAS DŽEMPERIS PINK",vaikiskas-dzemperis-pink,,1109,"SUDĖTIS:

85 % organinė medvilnė, 15 % perdirbtas poliesteris.

DYDŽIŲ LENTELĖ:

Pusė krutinės - 39 cm

Ilgis - 51,5 cm

Rankovės ilgis - 53,5 cm",,publish,,0,"2021-06-14 09:42:50",1,closed,pink,,,no,no,11,39,29,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://jagelaviciute.lt/wp-content/uploads/2021/06/118498210_1449917685205770_1076509073529351031_n.jpg ! alt :  ! title : 118498210_1449917685205770_1076509073529351031_n.jpg ! desc :  ! caption : ",,https://jagelaviciute.lt/produktas/vaikiskas-dzemperis-pink/
"VAIKIŠKAS DŽEMPERIS black",vaikiskas-dzemperis-black,,1110,"SUDĖTIS:

85 % organinė medvilnė, 15 % perdirbtas poliesteris.

DYDŽIŲ LENTELĖ:

Pusė krutinės - 39 cm

Ilgis - 51,5 cm

Rankovės ilgis - 53,5 cm",,publish,,0,"2021-06-14 09:42:50",1,closed,vaikiskasblack,,,no,no,12.000000,39,29,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://jagelaviciute.lt/wp-content/uploads/2021/06/118468066_1075402592855070_1137398546395548462_n.jpg ! alt :  ! title : 118468066_1075402592855070_1137398546395548462_n.jpg ! desc :  ! caption :  | https://jagelaviciute.lt/wp-content/uploads/2021/06/Screenshot-2021-01-23-at-11.23.01.png ! alt :  ! title : Screenshot-2021-01-23-at-11.23.01.png ! desc :  ! caption : ",,https://jagelaviciute.lt/produktas/vaikiskas-dzemperis-black/
